"Accelerate
reconstruction
(by 33%)",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Haiti,0.0,330.48905833154964,0 (0%),330 (4.8%)
Jamaica,0.0,121.61228134508896,0 (0%),120 (10%)
Fiji,0.0,54.43549128972864,0 (0%),54 (9%)
Papua New Guinea,0.0,44.454512586206555,0 (0%),44 (9.3%)
Belize,0.0,37.5995721675418,0 (0%),38 (17%)
St. Lucia,0.0,20.117229473209143,0 (0%),20 (17%)
Solomon Islands,0.0,12.654332349663227,0 (0%),13 (8.3%)
Tonga,0.0,5.538534204432859,0 (0%),5.5 (9.5%)
Kiribati,0.0,0.0020128621144633978,0 (0%),0 (8.2%)
