"Universal
access to
finance",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Haiti,0.0,766.1522186782807,0% (0 m$),11% (770 m$)
Kiribati,0.0,0.0008215658484567029,0% (0 m$),3.3% (0 m$)
Belize,0.0,6.7084159795807,0% (0 m$),3.1% (6.7 m$)
Papua New Guinea,0.0,12.46053910481292,0% (0 m$),2.6% (12 m$)
Solomon Islands,0.0,3.8813359690681097,0% (0 m$),2.6% (3.9 m$)
Jamaica,0.0,30.525785920453547,0% (0 m$),2.5% (31 m$)
Fiji,0.0,7.852259245522737,0% (0 m$),1.3% (7.9 m$)
St. Lucia,0.0,0.9430192093711793,0% (0 m$),0.79% (0.94 m$)
Tonga,0.0,0.4261676156038195,0% (0 m$),0.73% (0.43 m$)
