country,income_cat,n,c,axfin,gamma_SP,k,fa,v,shew
Albania,nonpoor,0.8,12550.4023508091,0.09645449,1.0955818030404623,68288.70256581786,0.025179111981340124,0.35149999999999987,0.0
Albania,poor,0.2,4874.210018855098,0.04461803,0.6176727878381504,24102.441325402036,0.024174204859940603,0.6999999999999998,0.0
Angola,nonpoor,0.8,8201.147100821754,0.2220807,1.1599876990237534,19008.86679419877,0.003203049659967758,0.6,0.0
Angola,poor,0.2,1883.566829119684,0.040258800000000004,0.3600492039049865,4187.392610310739,0.01416253957816307,0.6999999999999997,0.0
Argentina,nonpoor,0.8,21526.024450934576,0.06069045,1.169168705192287,80104.03544575846,0.009717452793824955,0.3972539125,0.6400000000000002
Argentina,poor,0.2,4331.883504672896,0.01099222,0.32332517923085086,15091.719720391962,0.010196615624280488,0.6999999999999998,0.6400000000000002
Armenia,nonpoor,0.8,9048.477648812173,0.02506004,1.0300891520363573,26016.515432179873,0.06051205575149972,0.2375,0.3200000000000001
Armenia,poor,0.2,3340.672250462604,0.0044171390000000005,0.87964339185457,3746.984777498211,0.06032242130127202,0.2999999999999999,0.3200000000000001
Australia,nonpoor,0.8,50672.226541667376,0.702807,0.9258855604795541,192253.20133538076,0.004459190402933272,0.5385999999999999,0.8
Australia,poor,0.2,15467.273110770495,0.4856016,1.296457758081783,28334.683441909285,0.0049373662372598675,0.6999999999999998,0.8
Austria,nonpoor,0.8,50776.8293487305,0.6850328,1.1292870052174835,221781.08909255767,0.027305435616954137,0.2394999999999999,0.8
Austria,poor,0.2,17134.839832276004,0.48613950000000006,0.4828519791300655,61056.98612761259,0.029382505064687932,0.5700000000000001,0.8
Azerbaijan,nonpoor,0.8,19116.02420315866,0.06077156,1.0380924660886284,34161.82622196794,0.029201998431139783,0.2375,0.0
Azerbaijan,poor,0.2,7030.2216112948645,0.04266026,0.8476301356454862,2923.6545058891597,0.029627796566417213,0.2999999999999999,0.0
Bangladesh,nonpoor,0.8,3573.7192676486716,0.09956344,1.199478287392875,12230.92703528926,0.071444775243984,0.41553519761222835,0.6400000000000002
Bangladesh,poor,0.2,1387.9282728992098,0.03864263,0.20208685042849917,5209.267859056998,0.0712928724027772,0.6999999999999998,0.6400000000000002
Belarus,nonpoor,0.8,18884.283415342565,0.1958292,1.0502207096129366,51423.67654242604,0.018371717764254353,0.29499999999999993,0.6400000000000002
Belarus,poor,0.2,7772.818540427754,0.07855246,0.7991171615482536,9885.912207283915,0.01932322893506109,0.6999999999999998,0.6400000000000002
Belgium,nonpoor,0.8,47775.53265862576,0.6023575,1.0845020116713397,228680.77899846496,0.008003400408172595,0.26999999999999996,0.0
Belgium,poor,0.2,18026.924557555445,0.4867135,0.6619919533146408,50377.21495199396,0.00835148980143197,0.46000000000000013,0.0
Benin,nonpoor,0.8,2268.257569216983,0.09291302,1.2008783009726112,6855.992582000845,0.009394678093238525,0.6734349004145419,0.3200000000000001
Benin,poor,0.2,585.2944802833688,0.0402082,0.19648679610955486,1821.2305991052895,0.021578082646138023,0.6999999999999997,0.3200000000000001
Bhutan,nonpoor,0.8,9164.928360562517,0.2584666,1.13932146862094,49408.03227209005,0.03890406012032421,0.673890576643806,0.4799999999999999
Bhutan,poor,0.2,2645.222166466634,0.1739075,0.4427141255162401,14168.23249262678,0.03635848656482878,0.6999999999999997,0.4799999999999999
Bolivia,nonpoor,0.8,7870.760057755164,0.3135603,1.1176924182203951,18877.229656033393,0.023135910359403513,0.38885421167860285,0.4799999999999999
Bolivia,poor,0.2,1172.3277090484823,0.1129292,0.5292303271184196,1903.8845755028383,0.023878375775345472,0.6999999999999998,0.4799999999999999
Bosnia and Herzegovina,nonpoor,0.8,11727.654919325743,0.1112821,1.097359673346521,36498.06244707903,0.020283185571982016,0.4420310714249999,0.0
Bosnia and Herzegovina,poor,0.2,3683.232433679526,0.05371241,0.6105613066139159,10194.282631907568,0.020586090034613966,0.6999999999999998,0.0
Botswana,nonpoor,0.8,18067.34169716063,0.34586680000000003,1.0818427272788091,64618.61845678616,0.006057290119870429,0.6416008539893611,0.6400000000000002
Botswana,poor,0.2,2112.443409630967,0.14749939999999995,0.6726290908847629,6061.833795108855,0.006391980406481143,0.6999999999999997,0.6400000000000002
Brazil,nonpoor,0.8,17508.607946863216,0.16760809999999998,1.2112171420207556,65840.12901164306,0.002826422113684357,0.6506628849962744,0.16000000000000006
Brazil,poor,0.2,2630.4694238491325,0.057491410000000014,0.15513143191697776,10252.958203043607,0.003138075379603878,0.6999999999999997,0.16000000000000006
Bulgaria,nonpoor,0.8,19941.166731422443,0.199541,1.128546706356204,63418.93734553731,0.010183506293900456,0.3857760364,0.6400000000000002
Bulgaria,poor,0.2,5236.04377943573,0.05927353,0.48581317457518425,9420.42755767251,0.009671038740619474,0.6999999999999998,0.6400000000000002
Burkina Faso,nonpoor,0.8,1825.6817671223398,0.10908389999999997,1.1571996450268767,4499.270247879291,0.004078593433321898,0.6734349004145419,0.4799999999999999
Burkina Faso,poor,0.2,661.856930299341,0.05447056,0.3712014198924935,1636.3165035885374,0.002655828282163096,0.6999999999999997,0.4799999999999999
Burundi,nonpoor,0.8,777.5318783954906,0.053788730000000014,1.1270116711064195,1681.2378508652978,0.03045352862134257,0.4424472127146907,0.4799999999999999
Burundi,poor,0.2,304.5930766485628,0.01814623,0.4919533155743211,650.5846009124123,0.03110974243929748,0.6999999999999998,0.4799999999999999
Cambodia,nonpoor,0.8,3726.9277433900525,0.04235721,1.1217307141112884,8118.532278835389,0.10304744428371031,0.20385327749999993,0.0
Cambodia,poor,0.2,1483.3950996230885,0.02697189,0.5130771435548459,3213.4479619174194,0.0727417157773411,0.6999999999999998,0.0
Cameroon,nonpoor,0.8,3491.680896288128,0.1220212,1.202460388706076,8318.320471470566,0.022690891164570272,0.3,0.6400000000000002
Cameroon,poor,0.2,662.7134999553879,0.01092981,0.19015844517569624,1580.4885895074442,0.03202286897213874,0.6343680960785822,0.6400000000000002
Canada,nonpoor,0.8,49914.1249396642,0.6994052,0.9297384779910901,155068.33488577328,0.011910998118193468,0.27848915166168753,0.6400000000000002
Canada,poor,0.2,15259.000519768171,0.5176056,1.2810460880356394,20340.12719689776,0.013000011740250892,0.3927198494711082,0.6400000000000002
Central African Republic,nonpoor,0.8,702.230420230037,0.03726327,1.1964398916301837,2231.2464831325424,0.011337579340146828,0.6348205552960912,0.0
Central African Republic,poor,0.2,96.75917241609696,0.0062126659999999995,0.21424043347926558,306.9053651296397,0.013463112968821427,0.7000000000000002,0.0
Chad,nonpoor,0.8,2430.2849764036205,0.05942366000000001,1.197514290038552,3225.9168717376892,0.009191302608383772,0.6734349004145419,0.0
Chad,poor,0.2,496.5812480690181,0.026735900000000003,0.20994283984579182,662.0622834252475,0.010204774538881588,0.6999999999999997,0.0
Chile,nonpoor,0.8,26461.649544290318,0.1811644,1.1425402296171172,76726.61806211124,0.10304574894638392,0.11529374999999999,0.6400000000000002
Chile,poor,0.2,5138.615388070218,0.1033565,0.4298390815315305,12572.78715592874,0.10471150820411905,0.313141,0.6400000000000002
China,nonpoor,0.8,16077.960421174304,0.4840392,1.101755603743032,70998.54402084759,0.003911810686381154,0.5370080662500001,0.6400000000000002
China,poor,0.2,3549.128753940767,0.305054,0.5929775850278719,12062.199527599965,0.0043018077389420295,0.6999999999999997,0.6400000000000002
Colombia,nonpoor,0.8,15689.913263804803,0.1673623,1.1917826481533822,56152.72823602238,0.07557080511956137,0.2226012,0.6400000000000002
Colombia,poor,0.2,2182.0409174827873,0.05714529,0.2328694073864708,7506.702885484962,0.0820864836412059,0.5302351999999999,0.6400000000000002
Comoros,nonpoor,0.8,1671.733139762203,0.1475529,1.1828526502460575,8448.222811821024,0.01430527175814823,0.4424472127146907,0.44999999999999984
Comoros,poor,0.2,279.34784416903574,0.03531137,0.26858939901577084,1397.6790202778488,0.014597895164535555,0.6999999999999998,0.44999999999999984
"Congo, Dem. Rep.",nonpoor,0.8,869.8351991661084,0.06591558,1.2019858666187202,3663.811255425186,0.0196994197831358,0.6,0.3200000000000001
"Congo, Dem. Rep.",poor,0.2,204.06042783740165,0.02017935,0.19205653352511912,882.8607239063228,0.03772149435636143,0.6999999999999997,0.3200000000000001
"Congo, Rep.",nonpoor,0.8,7176.800838308015,0.13450479999999998,1.1858645475951113,19284.129866309308,0.04991506199322859,0.3,0.0
"Congo, Rep.",poor,0.2,1258.5621511855393,0.04429218,0.25654180961955464,3253.7964457705098,0.05536253799027183,0.6343680960785822,0.0
Costa Rica,nonpoor,0.8,17539.267359489277,0.29628730000000003,1.1695309101449536,36566.80543909194,0.026040810030528976,0.32104216733095076,0.8
Costa Rica,poor,0.2,3075.779662206888,0.16048690000000002,0.3218763594201859,5700.701565137134,0.026040810030528976,0.6999999999999998,0.8
Cote d'Ivoire,nonpoor,0.8,3914.298481513096,0.1283048,1.1742504036022057,6803.249006812558,0.007666923708313884,0.6734349004145419,0.3200000000000001
Cote d'Ivoire,poor,0.2,843.1685210467666,0.028859220000000005,0.3029983855911768,1434.6383540705203,0.007476204213082195,0.6999999999999997,0.3200000000000001
Croatia,nonpoor,0.8,24055.39691490764,0.292387,1.0871107185069508,107166.67043710744,0.015879749784161318,0.44120128109999995,0.6400000000000002
Croatia,poor,0.2,7098.059779036422,0.2455249,0.6515571259721966,19531.043845012657,0.016505350992642855,0.6999999999999998,0.6400000000000002
Cyprus,nonpoor,0.8,34943.88789058615,0.2639375,1.1112356189521475,176293.69669304686,0.02670597954266298,0.10000000000000002,0.0
Cyprus,poor,0.2,12137.883458136432,0.15590479999999998,0.5550575241914102,47812.100251501295,0.026707995741416874,0.4646689476190476,0.0
Czech Republic,nonpoor,0.8,34349.05539653325,0.42273649999999996,1.141357091622618,142146.43793057525,0.010225898197940115,0.4135,0.8
Czech Republic,poor,0.2,14506.7320746,0.3099159,0.4345716335095276,64871.54749976247,0.011161895659372584,0.6999999999999998,0.8
Denmark,nonpoor,0.8,52033.42659827266,0.6937743000000001,1.0616657533330605,236142.03729941082,0.00046510564237261045,0.25,0.6400000000000002
Denmark,poor,0.2,19285.11615180735,0.5787514,0.7533369866677582,43753.577593680944,0.0005163901591973356,0.2999999999999999,0.6400000000000002
