scenario,r,eta,insu,v,proba,Keq,Kopt,K1,Weq,Wopt,W1,Weq_rel,Wopt_rel,W1_rel
598,0.04,1.5,0.25,0.5,0.1,90.32449542,52.86271089,90.32449542,30.48451721,28.12334179,29.48955125,0.861633378,0.857420296,0.943757499
599,0.04,1.5,0.25,0.5,0.11,89.94853526,51.0610733,90.32449542,30.02032365,27.68990484,29.13806983,0.848513122,0.844205734,0.932508998
600,0.04,1.5,0.25,0.5,0.12,89.57522765,49.38741875,90.32449542,29.55982513,27.27824339,28.78658841,0.835497306,0.831655061,0.921260498
601,0.04,1.5,0.5,0.125,0,477.1544113,477.1544113,323.5531693,44.53441218,44.53441218,33.00436545,1.258748359,1.35775859,1.056242501
602,0.04,1.5,0.5,0.125,0.001,475.0323143,470.7844925,323.5531693,44.47490068,44.47436451,32.99557841,1.257066289,1.355927865,1.055961289
603,0.04,1.5,0.5,0.125,0.002,472.9262161,464.9373322,323.5531693,44.41565343,44.41373389,32.98679138,1.255391688,1.354079368,1.055680076
604,0.04,1.5,0.5,0.125,0.003,470.8359261,459.513855,323.5531693,44.35666846,44.35276781,32.97800434,1.2537245,1.352220643,1.055398864
605,0.04,1.5,0.5,0.125,0.004,468.7612991,454.4426575,323.5531693,44.2979438,44.29163445,32.96921731,1.25206467,1.350356818,1.055117651
606,0.04,1.5,0.5,0.125,0.005,466.7021828,449.6702118,323.5531693,44.23947749,44.23045215,32.96043027,1.250412142,1.348491501,1.054836439
607,0.04,1.5,0.5,0.125,0.006,464.6583843,445.155303,323.5531693,44.18126761,44.1693065,32.95164324,1.248766861,1.346627301,1.054555226
608,0.04,1.5,0.5,0.125,0.007,462.6297512,440.8653297,323.5531693,44.12331226,44.10826064,32.9428562,1.247128775,1.344766144,1.054274014
609,0.04,1.5,0.5,0.125,0.008,460.6161156,436.7739277,323.5531693,44.06560955,44.04736177,32.93406917,1.24549783,1.342909468,1.053992801
610,0.04,1.5,0.5,0.125,0.009,458.6173553,432.8595581,323.5531693,44.00815761,43.98664579,32.92528213,1.243873973,1.341058369,1.053711589
611,0.04,1.5,0.5,0.125,0.01,456.6333008,429.1042788,323.5531693,43.9509546,43.92614011,32.91649509,1.242257151,1.33921368,1.053430376
612,0.04,1.5,0.5,0.125,0.011,454.6637735,425.4929199,323.5531693,43.89399868,43.86586571,32.90770806,1.240647313,1.337376043,1.053149164
613,0.04,1.5,0.5,0.125,0.012,452.7086489,422.0126038,323.5531693,43.83728805,43.8058388,32.89892102,1.239044409,1.335545952,1.052867951
614,0.04,1.5,0.5,0.125,0.013,450.7677765,418.6522532,323.5531693,43.78082093,43.74607183,32.89013399,1.237448387,1.333723785,1.052586739
615,0.04,1.5,0.5,0.125,0.014,448.8410034,415.4022446,323.5531693,43.72459552,43.6865743,32.88134695,1.235859197,1.331909833,1.052305526
616,0.04,1.5,0.5,0.125,0.015,446.9281998,412.2541513,323.5531693,43.66861009,43.62735335,32.87255992,1.23427679,1.330104314,1.052024314
617,0.04,1.5,0.5,0.125,0.02,437.5686302,397.8109131,323.5531693,43.39222237,43.33553918,32.82862474,1.226464795,1.321207526,1.050618251
618,0.04,1.5,0.5,0.125,0.025,428.5374451,385.0878563,323.5531693,43.12158089,43.05098416,32.78468956,1.218815216,1.312532055,1.049212189
619,0.04,1.5,0.5,0.125,0.03,419.8186407,373.6719742,323.5531693,42.85648549,42.77358442,32.74075438,1.211322394,1.304074733,1.047806126
620,0.04,1.5,0.5,0.125,0.035,411.3971443,363.2921296,323.5531693,42.59674567,42.50309387,32.69681921,1.203980946,1.295828057,1.046400064
621,0.04,1.5,0.5,0.125,0.04,403.2588502,353.7590714,323.5531693,42.34218006,42.23921841,32.65288403,1.196785746,1.287783061,1.044994001
622,0.04,1.5,0.5,0.125,0.045,395.3905219,344.9345016,323.5531693,42.09261586,41.98165478,32.60894885,1.189731908,1.279930498,1.043587939
623,0.04,1.5,0.5,0.125,0.05,387.7796631,336.7137604,323.5531693,41.84788828,41.73010736,32.56501367,1.182814775,1.272261358,1.042181876
624,0.04,1.5,0.5,0.125,0.06,373.2841025,321.7743459,323.5531693,41.37232122,41.24395348,32.47714332,1.169373051,1.25743957,1.039369751
625,0.04,1.5,0.5,0.125,0.07,359.6861916,308.4630051,323.5531693,40.91430414,40.77871325,32.38927296,1.156427371,1.243255395,1.036557626
626,0.04,1.5,0.5,0.125,0.08,346.9094083,296.4566369,323.5531693,40.47276372,40.33260812,32.30140261,1.143947398,1.229654607,1.033745501
627,0.04,1.5,0.5,0.125,0.09,334.8854375,285.5246848,323.5531693,40.04671705,39.90409271,32.21353225,1.13190535,1.216590092,1.030933376
628,0.04,1.5,0.5,0.125,0.1,323.5531693,275.4957807,323.5531693,39.63526201,39.49181797,32.1256619,1.120275728,1.204020721,1.028121251
629,0.04,1.5,0.5,0.125,0.11,312.8576889,266.238471,323.5531693,39.23756889,39.09459902,32.03779154,1.109035082,1.191910369,1.025309126
630,0.04,1.5,0.5,0.125,0.12,302.749661,257.6492767,323.5531693,38.85287308,38.71138798,31.94992119,1.0981618,1.180227087,1.022497001
631,0.04,1.5,0.5,0.2,0,477.1544113,477.1544113,267.3622036,44.53441218,44.53441218,33.00436545,1.258748359,1.35775859,1.056242501
632,0.04,1.5,0.5,0.2,0.001,444.5754953,409.150878,267.3622036,44.41309198,44.3047595,32.99030619,1.25531929,1.350756973,1.055792561
633,0.04,1.5,0.5,0.2,0.002,444.1225632,395.1896372,267.3622036,44.32343181,44.15748009,32.97624694,1.252785079,1.346266739,1.055342621
634,0.04,1.5,0.5,0.2,0.003,443.6704151,385.0016632,267.3622036,44.23394038,44.02282421,32.96218768,1.250255637,1.342161371,1.054892681
635,0.04,1.5,0.5,0.2,0.004,443.2190489,376.7099837,267.3622036,44.14461727,43.89575809,32.94812842,1.247730953,1.338287398,1.054442741
636,0.04,1.5,0.5,0.2,0.005,442.7684628,369.6036606,267.3622036,44.05546205,43.77413833,32.93406917,1.245211015,1.334579473,1.053992801
637,0.04,1.5,0.5,0.2,0.006,442.3186548,363.3246889,267.3622036,43.96647429,43.65678111,32.92000991,1.242695809,1.331001503,1.053542861
638,0.04,1.5,0.5,0.2,0.007,441.8696232,357.6636124,267.3622036,43.87765358,43.54293701,32.90595065,1.240185325,1.327530641,1.053092921
639,0.04,1.5,0.5,0.2,0.008,441.4213659,352.4857483,267.3622036,43.7889995,43.43208951,32.8918914,1.237679551,1.324151139,1.052642981
640,0.04,1.5,0.5,0.2,0.009,440.9738811,347.6986465,267.3622036,43.70051162,43.32386124,32.87783214,1.235178475,1.320851491,1.052193041
641,0.04,1.5,0.5,0.2,0.01,440.527167,343.2356108,267.3622036,43.61218953,43.21796364,32.86377288,1.232682084,1.317622901,1.051743101
642,0.04,1.5,0.5,0.2,0.011,440.0812216,339.0468216,267.3622036,43.52403282,43.11416971,32.84971362,1.230190368,1.314458447,1.051293161
643,0.04,1.5,0.5,0.2,0.012,439.0436707,335.0938425,267.3622036,43.43605291,43.01229523,32.83565437,1.227703649,1.311352513,1.050843221
644,0.04,1.5,0.5,0.2,0.013,436.1020055,331.3463612,267.3622036,43.34853891,42.91218815,32.82159511,1.225230099,1.308300463,1.050393281
645,0.04,1.5,0.5,0.2,0.014,433.193696,327.7799721,267.3622036,43.26160989,42.81372055,32.80753585,1.222773083,1.305298397,1.049943341
646,0.04,1.5,0.5,0.2,0.015,430.3181915,324.37467,267.3622036,43.17525924,42.7167831,32.7934766,1.220332414,1.302342982,1.049493401
647,0.04,1.5,0.5,0.2,0.02,416.4151688,309.2649555,267.3622036,42.75195724,42.25212096,32.72318031,1.208367943,1.288176431,1.047243701
648,0.04,1.5,0.5,0.2,0.025,403.2588576,296.5002575,267.3622036,42.34218006,41.81536293,32.65288403,1.196785746,1.274860617,1.044994001
649,0.04,1.5,0.5,0.2,0.03,390.7938685,285.3752289,267.3622036,41.94520914,41.40140656,32.58258775,1.185565512,1.262239976,1.042744301
650,0.04,1.5,0.5,0.2,0.035,378.9700146,275.4776649,267.3622036,41.56037866,41.0068318,32.51229146,1.174688424,1.250210239,1.040494601
651,0.04,1.5,0.5,0.2,0.04,367.7417011,266.5422363,267.3622036,41.18707064,40.62916194,32.44199518,1.164137014,1.238695896,1.038244901
652,0.04,1.5,0.5,0.2,0.045,357.0674458,258.3865356,267.3622036,40.82471061,40.26650892,32.37169889,1.153895044,1.227639385,1.035995201
653,0.04,1.5,0.5,0.2,0.05,346.9094086,250.8787236,267.3622036,40.47276372,39.91737604,32.30140261,1.143947398,1.216995073,1.033745501
654,0.04,1.5,0.5,0.2,0.06,328.0067062,237.4338493,267.3622036,39.79814766,39.25499494,32.16081004,1.12487963,1.196800495,1.029246101
655,0.04,1.5,0.5,0.2,0.07,310.7905731,225.649291,267.3622036,39.15961334,38.63441537,32.02021747,1.106831698,1.177880357,1.024746701
656,0.04,1.5,0.5,0.2,0.08,295.0561142,215.1641626,267.3622036,38.55399825,38.05002885,31.87962491,1.089714216,1.160063667,1.020247301
657,0.04,1.5,0.5,0.2,0.09,280.6294401,205.7292643,267.3622036,37.9785176,37.4974991,31.73903234,1.073448472,1.143218222,1.0157479
658,0.04,1.5,0.5,0.2,0.1,267.3622036,197.1639233,267.3622036,37.430708,36.97335741,31.59843977,1.057964841,1.127238267,1.0112485
659,0.04,1.5,0.5,0.2,0.11,255.1270571,189.3322182,267.3622036,36.90838112,36.47475784,31.4578472,1.043201468,1.112037037,1.0067491
660,0.04,1.5,0.5,0.2,0.12,243.8141785,182.1288834,267.3622036,36.40958525,35.99931917,31.31725463,1.029103191,1.097541933,1.0022497
661,0.04,1.5,0.5,0.25,0,477.1544113,477.1544113,238.47335,44.53441218,44.53441218,33.00436545,1.258748359,1.35775859,1.056242501
662,0.04,1.5,0.5,0.25,0.001,351.5456032,333.6951217,238.47335,43.8992572,43.71728735,32.98679138,1.240795943,1.332846208,1.055680076
663,0.04,1.5,0.5,0.25,0.002,351.1657797,324.3778157,238.47335,43.80793102,43.52775723,32.96921731,1.238214644,1.327067842,1.055117651
664,0.04,1.5,0.5,0.25,0.003,350.7866534,317.1247864,238.47335,43.71678668,43.35910462,32.95164324,1.235638483,1.321925986,1.054555226
665,0.04,1.5,0.5,0.25,0.004,350.4082224,311.0049591,238.47335,43.62582369,43.20267502,32.93406917,1.233067448,1.317156783,1.053992801
666,0.04,1.5,0.5,0.25,0.005,350.0304849,305.6330376,238.47335,43.53504156,43.05480155,32.91649509,1.230501526,1.312648439,1.053430376
667,0.04,1.5,0.5,0.25,0.006,349.6534391,300.8035431,238.47335,43.44443981,42.91347921,32.89892102,1.227940701,1.308339824,1.052867951
668,0.04,1.5,0.5,0.25,0.007,349.2770832,296.3910751,238.47335,43.35401795,42.77745299,32.88134695,1.225384962,1.304192677,1.052305526
669,0.04,1.5,0.5,0.25,0.008,348.9014155,292.3123474,238.47335,43.26377552,42.64586838,32.86377288,1.222834294,1.300180945,1.051743101
670,0.04,1.5,0.5,0.25,0.009,348.5264341,288.5086222,238.47335,43.17371203,42.51810771,32.84619881,1.220288683,1.296285796,1.051180676
671,0.04,1.5,0.5,0.25,0.01,348.1521374,284.9366035,238.47335,43.083827,42.39370453,32.82862474,1.217748117,1.29249301,1.050618251
672,0.04,1.5,0.5,0.25,0.011,347.7785235,281.563324,238.47335,42.99411996,42.27229532,32.81105067,1.215212581,1.288791504,1.050055826
673,0.04,1.5,0.5,0.25,0.012,347.4055906,278.3629451,238.47335,42.90459045,42.15358847,32.7934766,1.212682063,1.285172387,1.049493401
674,0.04,1.5,0.5,0.25,0.013,347.0333371,275.3147945,238.47335,42.81523797,42.0373454,32.77590253,1.210156549,1.281628386,1.048930976
675,0.04,1.5,0.5,0.25,0.014,346.6617612,272.4020233,238.47335,42.72606207,41.9233674,32.75832846,1.207636026,1.278153441,1.048368551
676,0.04,1.5,0.5,0.25,0.015,346.2908612,269.6106567,238.47335,42.63706228,41.81148597,32.74075438,1.20512048,1.274742417,1.047806126
677,0.04,1.5,0.5,0.25,0.02,344.446438,257.1200333,238.47335,42.19468866,41.27908534,32.65288403,1.192616957,1.258510665,1.044994001
678,0.04,1.5,0.5,0.25,0.025,342.6186534,246.4568329,238.47335,41.75664838,40.78355634,32.56501367,1.180235913,1.24340305,1.042181876
679,0.04,1.5,0.5,0.25,0.03,340.807296,237.0976868,238.47335,41.32288464,40.31748662,32.47714332,1.167975745,1.229193585,1.039369751
680,0.04,1.5,0.5,0.25,0.035,339.0121583,228.72929,238.47335,40.89334159,39.87603573,32.38927296,1.155834873,1.215734696,1.036557626
681,0.04,1.5,0.5,0.25,0.04,337.233036,221.1464691,238.47335,40.46796432,39.45577431,32.30140261,1.143811745,1.202921827,1.033745501
682,0.04,1.5,0.5,0.25,0.045,334.8854375,214.2060852,238.47335,40.04671705,39.05413137,32.21353225,1.13190535,1.190676597,1.030933376
683,0.04,1.5,0.5,0.25,0.05,323.5531693,207.8035431,238.47335,39.63526201,38.66909954,32.1256619,1.120275728,1.178937803,1.028121251
684,0.04,1.5,0.5,0.25,0.06,302.749661,196.3127213,238.47335,38.85287308,37.94268901,31.94992119,1.0981618,1.156791106,1.022497001
685,0.04,1.5,0.5,0.25,0.07,284.1220093,186.2220631,238.47335,38.1197024,37.26660798,31.77418048,1.077439007,1.136178847,1.01687275
686,0.04,1.5,0.5,0.25,0.08,267.362196,177.2355347,238.47335,37.430708,36.63365167,31.59843977,1.057964841,1.116881368,1.0112485
687,0.04,1.5,0.5,0.25,0.09,252.2163315,169.1464996,238.47335,36.78154764,36.03832247,31.42269906,1.039616568,1.09873106,1.00562425
688,0.04,1.5,0.5,0.25,0.1,238.47335,161.8038883,238.47335,36.16845823,35.47627125,31.24695835,1.022287827,1.081595325,1
689,0.04,1.5,0.5,0.25,0.11,225.9565697,155.0932274,238.47335,35.58815982,34.94396221,31.07121764,1.005885911,1.065366365,0.99437575
690,0.04,1.5,0.5,0.25,0.12,214.5170078,148.9252758,238.47335,35.03777832,34.43845923,30.89547693,0.990329586,1.049954665,0.9887515
691,0.04,1.5,0.5,0.5,0,477.1544113,477.1544113,139.7238801,44.53441218,44.53441218,33.00436545,1.258748359,1.35775859,1.056242501
692,0.04,1.5,0.5,0.5,0.001,157.0506267,152.0850906,139.7238801,39.22339401,38.98725188,32.96921731,1.108634434,1.188637585,1.055117651
693,0.04,1.5,0.5,0.5,0.002,156.8575831,149.1213913,139.7238801,39.13596698,38.76696707,32.93406917,1.106163342,1.181921574,1.053992801
694,0.04,1.5,0.5,0.5,0.003,156.6649425,146.6811259,139.7238801,39.04873692,38.57207018,32.89892102,1.103697818,1.175979586,1.052867951
695,0.04,1.5,0.5,0.5,0.004,156.4727038,144.5383454,139.7238801,38.96170325,38.39199652,32.86377288,1.101237844,1.170489527,1.051743101
696,0.04,1.5,0.5,0.5,0.005,156.2808658,142.5981102,139.7238801,38.87486536,38.22228421,32.82862474,1.098783404,1.165315363,1.050618251
697,0.04,1.5,0.5,0.5,0.006,156.0894272,140.8089142,139.7238801,38.78822267,38.06049718,32.7934766,1.096334481,1.160382824,1.049493401
698,0.04,1.5,0.5,0.5,0.007,155.898387,139.1387906,139.7238801,38.70177458,37.90511266,32.75832846,1.093891058,1.155645484,1.048368551
699,0.04,1.5,0.5,0.5,0.008,155.7077439,137.5661448,139.7238801,38.6155205,37.75509402,32.72318031,1.091453119,1.151071738,1.047243701
700,0.04,1.5,0.5,0.5,0.009,155.5174968,136.0755101,139.7238801,38.52945984,37.60969277,32.68803217,1.089020647,1.146638766,1.046118851
701,0.04,1.5,0.5,0.5,0.01,155.3276446,134.6553154,139.7238801,38.44359203,37.46834418,32.65288403,1.086593626,1.142329351,1.044994001
702,0.04,1.5,0.5,0.5,0.011,155.138186,133.2966165,139.7238801,38.35791648,37.33060798,32.61773589,1.084172039,1.13813007,1.043869151
703,0.04,1.5,0.5,0.5,0.012,154.9491199,131.9923096,139.7238801,38.27243261,37.19613133,32.58258775,1.081755869,1.134030165,1.042744301
704,0.04,1.5,0.5,0.5,0.013,154.7604452,130.7366333,139.7238801,38.18713985,37.06462553,32.5474396,1.079345101,1.130020836,1.041619451
705,0.04,1.5,0.5,0.5,0.014,154.5721607,129.5248418,139.7238801,38.10203761,36.93585061,32.51229146,1.076939719,1.126094765,1.040494601
706,0.04,1.5,0.5,0.5,0.015,154.3842653,128.3529406,139.7238801,38.01712533,36.80960268,32.47714332,1.074539705,1.122245737,1.039369751
707,0.04,1.5,0.5,0.5,0.02,153.4505851,122.9884834,139.7238801,37.59539334,36.21090574,32.30140261,1.06261961,1.103992753,1.033745501
708,0.04,1.5,0.5,0.5,0.025,152.5264637,118.2646456,139.7238801,37.17832553,35.6566252,32.1256619,1.050831345,1.08709393,1.028121251
709,0.04,1.5,0.5,0.5,0.03,151.6117637,114.0193801,139.7238801,36.7658527,35.13782539,31.94992119,1.039172956,1.071276838,1.022497001
710,0.04,1.5,0.5,0.5,0.035,150.7063499,110.1517258,139.7238801,36.35790692,34.64867613,31.77418048,1.027642523,1.056363727,1.01687275
711,0.04,1.5,0.5,0.5,0.04,149.8100899,106.5932312,139.7238801,35.95442158,34.18504577,31.59843977,1.016238162,1.042228633,1.0112485
712,0.04,1.5,0.5,0.5,0.045,148.9228535,103.2946777,139.7238801,35.55533128,33.74383554,31.42269906,1.004958025,1.028777081,1.00562425
713,0.04,1.5,0.5,0.5,0.05,148.044513,100.2191153,139.7238801,35.16057184,33.32262393,31.24695835,0.993800299,1.015935243,1
714,0.04,1.5,0.5,0.5,0.06,146.3140203,94.62803268,139.7238801,34.38379478,32.53272506,30.89547693,0.971844988,0.991852923,0.9887515
715,0.04,1.5,0.5,0.5,0.07,144.6176356,89.65141296,139.7238801,33.62360029,31.8033169,30.54399551,0.950358377,0.969614835,0.977502999
716,0.04,1.5,0.5,0.5,0.08,142.9544175,85.1742897,139.7238801,32.87951603,31.12564008,30.19251409,0.929327116,0.948953924,0.966254499
717,0.04,1.5,0.5,0.5,0.09,141.3234577,81.11353683,139.7238801,32.15108664,30.492985,29.84103267,0.908738335,0.929665629,0.955005999
718,0.04,1.5,0.5,0.5,0.1,139.7238801,77.4064455,139.7238801,31.43787303,29.9000242,29.48955125,0.888579621,0.911587528,0.943757499
719,0.04,1.5,0.5,0.5,0.11,138.1548388,74.00414133,139.7238801,30.73945164,29.34241265,29.13806983,0.868839004,0.894587149,0.932508998
720,0.04,1.5,0.5,0.5,0.12,128.8763499,70.86756134,139.7238801,30.07114788,28.81653382,28.78658841,0.84994965,0.878554233,0.921260498
721,0.08,0.5,0,0.125,0,177.2621843,177.2621843,144.0595926,33.08894108,33.08894108,30.19251409,1.123605848,1.133036744,1.061804132
722,0.08,0.5,0,0.125,0.001,176.8672638,176.5791931,144.0595926,33.06680801,33.06679484,30.18372706,1.122854272,1.132278409,1.061495111
723,0.08,0.5,0,0.125,0.002,176.4738255,175.9067535,144.0595926,33.04472421,33.04467293,30.17494002,1.122104369,1.131520907,1.06118609
724,0.08,0.5,0,0.125,0.003,176.0818782,175.2444611,144.0595926,33.02268949,33.02257715,30.16615298,1.121356133,1.1307643,1.06087707
725,0.08,0.5,0,0.125,0.004,175.6914082,174.5919476,144.0595926,33.00070367,33.00050913,30.15736595,1.120609558,1.130008643,1.060568049
726,0.08,0.5,0,0.125,0.005,175.302412,173.9488373,144.0595926,32.97876658,32.97847035,30.14857891,1.119864637,1.129253988,1.060259028
727,0.08,0.5,0,0.125,0.006,174.9148788,173.3148212,144.0595926,32.95687801,32.95646218,30.13979188,1.119121364,1.128500381,1.059950008
728,0.08,0.5,0,0.125,0.007,174.5287938,172.6895618,144.0595926,32.9350378,32.93448586,30.13100484,1.118379732,1.127747864,1.059640987
729,0.08,0.5,0,0.125,0.008,174.1441574,172.0727768,144.0595926,32.91324575,32.91254251,30.12221781,1.117639737,1.126996476,1.059331966
730,0.08,0.5,0,0.125,0.009,173.7609634,171.46418,144.0595926,32.8915017,32.89063318,30.11343077,1.116901371,1.126246253,1.059022946
731,0.08,0.5,0,0.125,0.01,173.3791943,170.8635178,144.0595926,32.86980545,32.86875882,30.10464374,1.116164628,1.125497228,1.058713925
732,0.08,0.5,0,0.125,0.011,172.998848,170.2705345,144.0595926,32.84815684,32.84692029,30.0958567,1.115429503,1.12474943,1.058404905
733,0.08,0.5,0,0.125,0.012,172.6199265,169.6849937,144.0595926,32.82655568,32.8251184,30.08706967,1.11469599,1.124002886,1.058095884
734,0.08,0.5,0,0.125,0.013,172.2424126,169.1066704,144.0595926,32.8050018,32.80335385,30.07828263,1.113964082,1.123257621,1.057786863
735,0.08,0.5,0,0.125,0.014,171.8662872,168.5353546,144.0595926,32.78349502,32.78162733,30.06949559,1.113233773,1.122513658,1.057477843
736,0.08,0.5,0,0.125,0.015,171.4915695,167.9708424,144.0595926,32.76203517,32.75993944,30.06070856,1.112505058,1.121771018,1.057168822
737,0.08,0.5,0,0.125,0.02,169.6386185,165.2438736,144.0595926,32.65543377,32.65209716,30.01677338,1.108885179,1.118078265,1.055623719
738,0.08,0.5,0,0.125,0.025,167.8194418,162.6615601,144.0595926,32.54997986,32.54528571,29.9728382,1.105304266,1.114420811,1.054078615
739,0.08,0.5,0,0.125,0.03,166.0331879,160.2070158,144.0595926,32.4456526,32.43953781,29.92890303,1.10176161,1.110799775,1.052533512
740,0.08,0.5,0,0.125,0.035,164.2790203,157.8664398,144.0595926,32.34243169,32.33487169,29.88496785,1.098256523,1.107215781,1.050988409
741,0.08,0.5,0,0.125,0.04,162.556118,155.6284027,144.0595926,32.24029732,32.23129547,29.84103267,1.094788332,1.103669107,1.049443305
742,0.08,0.5,0,0.125,0.045,160.8637152,153.4832878,144.0595926,32.13923018,32.12881005,29.79709749,1.091356381,1.100159786,1.047898202
743,0.08,0.5,0,0.125,0.05,159.2010536,151.4229054,144.0595926,32.03921147,32.02741115,29.75316232,1.087960031,1.096687668,1.046353099
744,0.08,0.5,0,0.125,0.06,155.9620194,147.5291138,144.0595926,31.84224634,31.82783815,29.66529196,1.081271659,1.089853858,1.043262892
745,0.08,0.5,0,0.125,0.07,152.8334498,143.9009132,144.0595926,31.6492604,31.63248426,29.57742161,1.074718408,1.083164519,1.040172686
746,0.08,0.5,0,0.125,0.08,149.8100891,140.5025864,144.0595926,31.46011888,31.44123411,29.48955125,1.068295702,1.076615702,1.037082479
747,0.08,0.5,0,0.125,0.09,146.8870173,137.3057327,144.0595926,31.27469339,31.25396127,29.4016809,1.061999183,1.070203076,1.033992272
748,0.08,0.5,0,0.125,0.1,144.0595926,134.2873726,144.0595926,31.0928615,31.07053557,29.31381054,1.055824691,1.063922184,1.030902066
749,0.08,0.5,0,0.125,0.11,141.3234601,131.4285126,144.0595926,30.91450638,30.89082673,29.22594019,1.049768262,1.057768565,1.027811859
750,0.08,0.5,0,0.125,0.12,138.6745071,128.7132835,144.0595926,30.73951653,30.71470707,29.13806983,1.043826106,1.051737848,1.024721653
751,0.08,0.5,0,0.2,0,177.2621843,177.2621843,128.8763465,33.08894108,33.08894108,30.19251409,1.123605848,1.133036744,1.061804132
752,0.08,0.5,0,0.2,0.001,165.3277173,164.9483659,128.8763465,33.03247792,33.03101076,30.17845483,1.12168852,1.131053085,1.061309699
753,0.08,0.5,0,0.2,0.002,165.3277173,164.0273936,128.8763465,32.99941238,32.99442919,30.16439558,1.120565709,1.129800453,1.060815266
754,0.08,0.5,0,0.2,0.003,165.3277173,162.8820343,128.8763465,32.96634684,32.95695885,30.15033632,1.119442898,1.128517387,1.060320833
755,0.08,0.5,0,0.2,0.004,165.3277173,161.6778278,128.8763465,32.93328129,32.91920258,30.13627706,1.118320086,1.127224531,1.0598264
756,0.08,0.5,0,0.2,0.005,165.3277173,160.4795771,128.8763465,32.90021575,32.8814207,30.12221781,1.117197275,1.125930798,1.059331966
757,0.08,0.5,0,0.2,0.006,165.3277173,159.3107147,128.8763465,32.86715021,32.8437283,30.10815855,1.116074464,1.124640129,1.058837533
758,0.08,0.5,0,0.2,0.007,165.3277173,158.1788034,128.8763465,32.83408466,32.8061798,30.09409929,1.114951652,1.123354387,1.0583431
759,0.08,0.5,0,0.2,0.008,165.3277173,157.0851212,128.8763465,32.80101912,32.76880188,30.08004004,1.113828841,1.122074487,1.057848667
760,0.08,0.5,0,0.2,0.009,165.3277173,156.0285072,128.8763465,32.76795357,32.73160797,30.06598078,1.11270603,1.120800887,1.057354234
761,0.08,0.5,0,0.2,0.01,165.3277173,155.0068855,128.8763465,32.73488803,32.69460445,30.05192152,1.111583218,1.119533807,1.056859801
762,0.08,0.5,0,0.2,0.011,165.3277173,154.0179272,128.8763465,32.70182249,32.65779392,30.03786227,1.110460407,1.118273335,1.056365368
763,0.08,0.5,0,0.2,0.012,165.3277173,153.0593338,128.8763465,32.66875694,32.62117681,30.02380301,1.109337596,1.117019486,1.055870935
764,0.08,0.5,0,0.2,0.013,165.3277173,152.1289358,128.8763465,32.6356914,32.58475221,30.00974375,1.108214784,1.115772229,1.055376502
765,0.08,0.5,0,0.2,0.014,165.3277173,151.2247467,128.8763465,32.60262586,32.5485185,29.9956845,1.107091973,1.114531509,1.054882069
766,0.08,0.5,0,0.2,0.015,165.3277173,150.3449726,128.8763465,32.56956031,32.51247366,29.98162524,1.105969162,1.113297255,1.054387636
767,0.08,0.5,0,0.2,0.02,165.3277173,146.2605515,128.8763465,32.4042326,32.33499685,29.91132896,1.100355105,1.107220067,1.051915471
768,0.08,0.5,0,0.2,0.025,162.556118,142.5987539,128.8763465,32.24029732,32.16186979,29.84103267,1.094788332,1.101291822,1.049443305
769,0.08,0.5,0,0.2,0.03,159.8625946,139.2629013,128.8763465,32.07909433,31.99279983,29.77073639,1.089314339,1.095502502,1.04697114
770,0.08,0.5,0,0.2,0.035,157.244072,136.1887817,128.8763465,31.92054712,31.82753005,29.7004401,1.083930529,1.089843308,1.044498975
771,0.08,0.5,0,0.2,0.04,154.6976414,133.3312457,128.8763465,31.76458216,31.66583623,29.63014382,1.078634405,1.084306563,1.04202681
772,0.08,0.5,0,0.2,0.045,152.2205281,130.6570759,128.8763465,31.61112874,31.50752122,29.55984754,1.073423565,1.078885515,1.039554644
773,0.08,0.5,0,0.2,0.05,149.8100891,128.140944,128.8763465,31.46011888,31.35240997,29.48955125,1.068295702,1.073574171,1.037082479
774,0.08,0.5,0,0.2,0.06,145.179368,123.507309,128.8763465,31.16517062,31.0511875,29.34895868,1.058280103,1.063259664,1.032138149
775,0.08,0.5,0,0.2,0.07,140.7868196,119.3127599,128.8763465,30.87924267,30.76108542,29.20836612,1.048570807,1.053325943,1.027193818
776,0.08,0.5,0,0.2,0.08,136.6155205,115.4765471,128.8763465,30.60187588,30.48119935,29.06777355,1.039152223,1.04374204,1.022249487
777,0.08,0.5,0,0.2,0.09,132.6500399,111.9401751,128.8763465,30.33264341,30.21075912,28.92718098,1.030009858,1.034481583,1.017305157
778,0.08,0.5,0,0.2,0.1,128.8763465,108.6595478,128.8763465,30.07114788,29.94909852,28.78658841,1.021130218,1.025521759,1.012360826
779,0.08,0.5,0,0.2,0.11,125.2815895,105.6003723,128.8763465,29.81701875,29.69563394,28.64599584,1.012500719,1.016842585,1.007416496
780,0.08,0.5,0,0.2,0.12,121.8540268,102.735321,128.8763465,29.56991007,29.44984898,28.50540328,1.004109615,1.008426378,1.002472165
781,0.08,0.5,0,0.25,0,177.2621843,177.2621843,120.1995356,33.08894108,33.08894108,30.19251409,1.123605848,1.133036744,1.061804132
782,0.08,0.5,0,0.25,0.001,130.7400532,130.7191227,120.1995356,32.65232828,32.65193572,30.17494002,1.108779725,1.118072737,1.06118609
783,0.08,0.5,0,0.25,0.002,130.7400532,130.656477,120.1995356,32.61964327,32.61809526,30.15736595,1.107669836,1.116913967,1.060568049
