scenario,r,eta,insu,v,proba,Keq,Kopt,K1,Weq,Wopt,W1,Weq_rel,Wopt_rel,W1_rel
38,0.04,0.5,0,0.2,0.007,206.0553716,205.721427,206.0553716,40.92259679,40.91236444,32.90595065,1.15666176,1.179684429,1.053092921
39,0.04,0.5,0,0.2,0.008,206.0553716,205.6191359,206.0553716,40.88138572,40.86810085,32.8918914,1.155496945,1.178408115,1.052642981
40,0.04,0.5,0,0.2,0.009,206.0553716,205.5033159,206.0553716,40.84017464,40.82346523,32.87783214,1.154332129,1.177121072,1.052193041
41,0.04,0.5,0,0.2,0.01,206.0553716,205.3740542,206.0553716,40.79896357,40.77846717,32.86377288,1.153167314,1.175823579,1.051743101
42,0.04,0.5,0,0.2,0.011,206.0553716,205.2314591,206.0553716,40.75775249,40.7331167,32.84971362,1.152002498,1.174515924,1.051293161
43,0.04,0.5,0,0.2,0.012,206.0553716,205.0756569,206.0553716,40.71654142,40.68742416,32.83565437,1.150837683,1.173198406,1.050843221
44,0.04,0.5,0,0.2,0.013,206.0553716,204.9067898,206.0553716,40.67533034,40.64140019,32.82159511,1.149672867,1.171871332,1.050393281
45,0.04,0.5,0,0.2,0.014,206.0553716,204.7250175,206.0553716,40.63411927,40.59505569,32.80753585,1.148508052,1.170535015,1.049943341
46,0.04,0.5,0,0.2,0.015,206.0553716,204.5305142,206.0553716,40.5929082,40.54840177,32.7934766,1.147343236,1.169189776,1.049493401
47,0.04,0.5,0,0.2,0.02,206.0553716,203.3742254,206.0553716,40.38685282,40.31089505,32.72318031,1.141519159,1.162341407,1.047243701
48,0.04,0.5,0,0.2,0.025,206.0553716,201.9336429,206.0553716,40.18079745,40.06740924,32.65288403,1.135695082,1.155320634,1.044994001
49,0.04,0.5,0,0.2,0.03,206.0553716,200.2429657,206.0553716,39.97474208,39.8194205,32.58258775,1.129871004,1.148170022,1.042744301
50,0.04,0.5,0,0.2,0.035,206.0553716,198.3390656,206.0553716,39.76868671,39.56833878,32.51229146,1.124046927,1.140930225,1.040494601
51,0.04,0.5,0,0.2,0.04,206.0553716,196.2588577,206.0553716,39.56263134,39.31545121,32.44199518,1.11822285,1.133638358,1.038244901
52,0.04,0.5,0,0.2,0.045,206.0553716,194.0373878,206.0553716,39.35657597,39.06189091,32.37169889,1.112398772,1.126327093,1.035995201
53,0.04,0.5,0,0.2,0.05,206.0553716,191.706604,206.0553716,39.1505206,38.80862545,32.30140261,1.106574695,1.119024329,1.033745501
54,0.04,0.5,0,0.2,0.06,206.0553716,186.8261175,206.0553716,38.73840985,38.3060504,32.16081004,1.09492654,1.104532868,1.029246101
55,0.04,0.5,0,0.2,0.07,206.0553716,181.7976794,206.0553716,38.32629911,37.81247775,32.02021747,1.083278385,1.090300985,1.024746701
56,0.04,0.5,0,0.2,0.08,206.0553716,176.7472611,206.0553716,37.91418837,37.3308334,31.87962491,1.071630231,1.076413048,1.020247301
57,0.04,0.5,0,0.2,0.09,206.0553716,171.7585294,206.0553716,37.50207762,36.86275816,31.73903234,1.059982076,1.062916368,1.0157479
58,0.04,0.5,0,0.2,0.1,206.0553716,166.8846301,206.0553716,37.08996688,36.40903495,31.59843977,1.048333921,1.049833521,1.0112485
59,0.04,0.5,0,0.2,0.11,206.0553716,162.1576228,206.0553716,36.67785614,35.96989354,31.4578472,1.036685767,1.037171132,1.0067491
