country,gdp_pc_pp,pop,share1,urbanization_rate,axfin_p,axfin_r,social_p,social_r
Kuwait,70107.4576588756,3892115.0,,0.9834200000000002,0.198661,0.29270870000000004,,
Kyrgyz Republic,3224.93175329893,5956900.0,0.1002,0.35707,0.03731649,0.0561118,0.349181831113288,0.267171013730729
Lao PDR,5345.26140600954,6802023.0,0.0725,0.38614000000000004,0.13250879999999998,0.2385275,0.03728431799420904,0.13347582175320616
Late-demographic dividend,15053.9414193614,2249385146.0,,0.5987644292036239,,,,
Latin America & Caribbean,14638.171000552,633026419.0,,0.798783664293821,,,,
Latin America & Caribbean (excluding high income),14188.0040930653,605432386.0,,0.7961937098710641,,,,
Latin America & the Caribbean (IDA & IBRD countries),14366.498336524499,616929998.0,,0.798724627711295,,,,
Latvia,23080.3606896556,1977527.0,0.0634,0.6738200000000001,0.185183,0.2983719,0.5817045388103765,0.23839155421060512
Least developed countries: UN classification,2410.25815357053,954157804.0,,0.315371214682912,,,,
Lebanon,13089.0122963795,5850743.0,,0.87792,0.060850230000000005,0.2486327,,
Lesotho,2770.1995896534004,2135022.0,0.028399999999999998,0.27312,0.02873374,0.11368269999999998,,
Liberia,784.581331279852,4503438.0,0.065,0.49701,0.044962499999999996,0.20074909999999999,0.04503793391523511,0.13130818974140615
Libya,11023.437139543601,6278438.0,,0.78554,,,,
Liechtenstein,,37531.0,,0.14289000000000002,,,,
Lithuania,26970.8824064979,2904910.0,0.06509999999999999,0.66508,0.167361,0.3604111,0.7601398503524004,0.20739038459557455
Low & middle income,9357.17672039627,6159612978.68203,,0.487061316508936,0.1481179,0.27659279999999997,,
Low income,1536.4867791519698,638286288.0,,0.307400011056105,0.05052696,0.1328835,,
Lower middle income,6051.43293509177,2927468838.0,,0.389586473286056,0.07945867999999999,0.19305529999999999,,
Luxembourg,93899.65649641199,569604.0,0.0706,0.9016,0.5098123999999999,0.6614447,,
"Macao SAR, China",104718.26247938801,587606.0,,1.0,,,,
"Macedonia, FYR",12732.402599736399,2078453.0,0.053899999999999997,0.57104,0.07452800999999999,0.17958029999999997,,
Madagascar,1376.2601079589901,24235390.0,0.057300000000000004,0.35105,0.01404179,0.045670380000000003,0.07307986905658793,0.0941497119376655
Malawi,1111.64870442195,17215232.0,0.0545,0.16272000000000003,0.04726891999999999,0.08640283,0.016992964323850702,0.0236817210165736
Malaysia,25311.906761013997,30331007.0,0.045599999999999995,0.74705,0.255594,0.3924174,0.1471422500216373,0.05773081708127114
Maldives,11993.9107652251,409163.0,0.0636,0.45536,,,0.031145207668181806,0.016503814270041425
Mali,1904.85696733101,17599694.0,0.0797,0.39915999999999996,0.008713539,0.04243126,0.024631705730870018,0.05299713321707195
Malta,32719.9463412933,431874.0,,0.9540700000000001,0.2980542,0.5080592,,
Marshall Islands,3673.15377493281,52993.0,,0.7268399999999999,,,,
Mauritania,3693.5420412279705,4067564.0,0.0755,0.59859,0.03751141,0.15244010000000002,,
Mauritius,18864.1056658413,1262605.0,0.0742,0.39671,0.23197389999999998,0.4367753,0.39938854177125355,0.3280153837505936
Mexico,16490.3457963968,127017224.0,0.0507,0.79246,0.07032508,0.1956048,0.5165315399168229,0.26416872128964153
"Micronesia, Fed. Sts.",3284.1346385036104,104460.0,0.0501,0.22424,,,0.4911367616883895,0.13340977833450512
Middle East & North Africa,17617.789607445302,424211252.0,,0.6421920165940339,,,,
Middle East & North Africa (IDA & IBRD countries),11644.2557493916,358284552.0,,0.6033087763960581,,,,
Middle East & North Africa (excluding high income),11554.860017891202,362706695.0,,0.6051279690855721,,,,
Middle income,10262.681325630601,5521326690.68203,,0.50783762425751,0.1608289,0.29504690000000006,,
Moldova,4742.019068679229,3554108.0,0.09720000000000001,0.44994999999999996,0.03550953,0.09047662,0.48044889618049574,0.35776645858817685
Monaco,,37731.0,,1.0,,,,
Mongolia,11477.8266826252,2959134.0,0.0808,0.7204,0.21726670000000003,0.4111103,0.43289215379153706,0.21401477649655312
Montenegro,15254.3071308672,622159.0,0.08460000000000001,0.64026,0.02831399,0.07029511999999999,0.32631167767132524,0.3342241905444773
Morocco,7364.766282544279,34377511.0,0.0654,0.60195,0.051415930000000006,0.1725484,,
Mozambique,1119.69778526205,27977863.0,0.052199999999999996,0.32214,,,0.22864661567112732,0.07690921448117116
Myanmar,4930.58983714295,53897154.0,,0.34098,0.06761485,0.1680227,,
Namibia,9778.405178690558,2458830.0,0.0327,0.46659999999999996,0.14453729999999998,0.3485483,,
Nauru,12270.294484543301,12475.0,,1.0,,,,
Nepal,2312.39434472368,28513700.0,0.0832,0.18614999999999998,0.08169342,0.22368110000000002,0.19576886426772783,0.2922257157398467
Netherlands,46353.8519057892,16939923.0,0.08869999999999999,0.9049600000000001,0.485505,0.6671163,,
New Caledonia,,273000.0,,0.7021,,,,
New Zealand,35158.641466171204,4595700.0,,0.8628399999999999,0.5940498000000001,0.7801831,,
Nicaragua,4884.15076072929,6082032.0,0.048499999999999995,0.5877899999999999,0.02887823,0.1150786,0.2150240827360311,0.1290875748090859
Niger,897.395320524357,19899120.0,0.0785,0.18732,0.017845970000000003,0.02122553,0.05921709568758075,0.06195777077582977
Nigeria,5638.88737884687,182201962.0,0.0537,0.47776,0.19702950000000002,0.3224891,0.002057508900952456,0.011572110972991134
North America,51728.99824454691,357332665.0,,0.8164152412716029,,,,
Northern Mariana Islands,,55070.0,,0.8923700000000001,,,,
Norway,63649.5053244752,5190239.0,0.09300000000000001,0.80473,0.7495815,0.8089856999999999,,
OECD members,38004.7197861012,1282900953.0,,0.8025294758100859,,,,
Oman,37541.0754752398,4490541.0,,0.77641,0.145017,0.2770396,,
Other small states,23917.9097173255,28593188.0,,0.58159498479463,,,,
Pacific island small states,5368.64200616267,2353344.0,,0.377994862272579,,,,
Pakistan,4706.18473260133,188924874.0,0.092,0.38758000000000004,0.01694613,0.043810209999999995,0.07118290614785897,0.13677639250650758
Palau,14385.9688063672,21291.0,,0.87071,,,0.14801150969645407,0.10637442990521595
Panama,20885.339448334198,3929141.0,0.0337,0.66592,0.14831640000000001,0.2403679,0.19442471509398124,0.11430158362854981
Papua New Guinea,2723.49309513476,7619321.0,0.047400000000000005,0.13005,,,0.004448386849634145,0.0013822475264634651
Paraguay,8639.281644633109,6639123.0,0.0385,0.5966600000000001,0.02127697,0.14778729999999998,0.2533582430701873,0.14654954376625337
Peru,11767.522115728301,31376670.0,0.045700000000000005,0.78609,0.05837516,0.1674962,0.17067789283365783,0.20147588955748694
Philippines,6938.2103015816,100699395.0,0.0592,0.44373000000000007,0.04855937,0.2163384,0.18809272627107096,0.2281501238304487
Poland,25322.538433281203,37986412.0,0.0799,0.60539,0.09776094,0.282444,0.5766165423176673,0.3946498977069835
Portugal,26548.6192370502,10358076.0,0.0645,0.63468,0.160451,0.3085544,,
Post-demographic dividend,40933.6265188375,1097579098.0,,0.8097076977750541,,,,
Pre-demographic dividend,3477.2795448828197,850210773.0,,0.385953921722137,,,,
Puerto Rico,33843.6052436546,3474182.0,,0.9359999999999999,0.13116229999999998,0.30437109999999995,,
Qatar,132937.666339429,2235355.0,,0.99244,0.181152,0.32098259999999995,,
Romania,20483.7753071325,19815308.0,0.0888,0.5456399999999999,0.05571223000000001,0.1842659,0.44718513049652964,0.40619177704967696
Russian Federation,24124.3323635443,144096870.0,0.059000000000000004,0.74008,0.11406239999999998,0.1823601,0.2916806007009515,0.20916966497719697
Rwanda,1655.17535545677,11609666.0,0.0519,0.28811,0.06397243000000001,0.3914391,0.07451404924171061,0.07678145748333853
Samoa,5574.06771103897,193228.0,0.0632,0.19097999999999998,,,0.22766987331164204,0.14591698846875145
San Marino,,31781.0,,0.9419,,,,
Sao Tome and Principe,3022.90245778039,190344.0,0.08380000000000001,0.6509199999999999,,,,
Saudi Arabia,50283.9335919591,31540372.0,,0.8312999999999999,0.08897133,0.2052709,,
Senegal,2273.62418655272,15129273.0,0.060599999999999994,0.43721000000000004,0.008773695,0.1060924,0.11367795298178585,0.21771700590819676
Serbia,13277.7517277447,7095383.0,0.0857,0.5555300000000001,0.0419454,0.1149804,0.4593668720166495,0.3624857509688709
Seychelles,25524.955003047202,93419.0,0.0542,0.53887,,,,
Sierra Leone,1473.913005475,6453184.0,0.0791,0.39942,0.03622707,0.1585936,0.02410150585142099,0.030431464202948053
Singapore,80191.53930832019,5535002.0,,1.0,0.4292485,0.4872643,,
Sint Maarten (Dutch part),36327.231898891805,38824.0,,1.0,,,,
Slovak Republic,28254.2557926965,5423801.0,0.0862,0.53598,0.3311596,0.5120568,0.32228808471304815,0.2523005022651217
Slovenia,29097.342767020098,2063531.0,0.0943,0.4965,0.2409204,0.3861343,,
Small states,21023.4288180205,38062892.0,,0.539340978101717,,,,
Solomon Islands,2067.12978220944,583591.0,0.049699999999999994,0.22329000000000002,,,0.05708569558230865,0.06716642587160629
Somalia,,10787104.0,,0.39551000000000003,0.003747235,0.04457126000000001,,
South Africa,12393.2554602878,55011976.6820294,0.024700000000000003,0.64801,0.2110501,0.4081099,0.7327359555846154,0.15425549756489032
South Asia,5319.63680368316,1744161298.0,,0.330282153058467,0.0667721,0.1664882,,
South Asia (IDA & IBRD),5319.63680368316,1744161298.0,,0.330282153058467,,,,
South Sudan,1741.0981138204502,12339812.0,0.038599999999999995,0.18804,,,,
Spain,32218.541815301098,46443994.0,0.0576,0.7957899999999999,0.35595620000000006,0.5667167,,
Sri Lanka,11047.666972348301,20966000.0,0.07139999999999999,0.18355999999999997,0.2143086,0.3952670999999999,0.07117910449185014,0.08948611652373328
St. Kitts and Nevis,23562.9417733261,55572.0,,0.32047,,,,
St. Lucia,10278.980272585899,184999.0,,0.18504,,,,
St. Martin (French part),,31754.0,,,,,,
St. Vincent and the Grenadines,10462.410271958901,109462.0,,0.5055,,,,
Sub-Saharan Africa,3488.26751352085,1001036556.6820301,,0.377408588230007,,,,
Sub-Saharan Africa (IDA & IBRD countries),3488.26751352085,1001036556.6820301,,0.377408588230007,,,,
Sub-Saharan Africa (excluding high income),3486.2110761562703,1000943137.6820301,,0.377393518878854,,,,
Sudan,4121.13701477156,40234882.0,0.0682,0.33805999999999997,0.03672906,0.1002178,,
Suriname,15687.231642921799,542975.0,,0.6604300000000001,,,,
Swaziland,8122.049470303721,1286970.0,0.04,0.21308000000000005,0.09158991,0.2348936,,
Sweden,45488.2916603657,9799186.0,0.087,0.85815,0.6662127999999999,0.8096492,,
Switzerland,56517.45244174691,8281430.0,0.0809,0.7391199999999999,0.46041340000000003,0.6177222,,
Syrian Arab Republic,4959.392523364486,18502413.0,,0.5765600000000001,0.04674114,0.053670739999999995,0.0449077463751928,0.12255292524153776
Tajikistan,2661.38459536755,8481855.0,0.08789999999999999,0.26781999999999995,0.006333107,0.021255919999999998,,
Tanzania,2510.03566010141,53470420.0,0.0737,0.31608,0.04258187,0.12170310000000001,0.145171981438773,0.07101360955368942
Thailand,15346.646889636999,67959359.0,0.0693,0.50374,0.3132831,0.46914110000000003,0.30352556178219825,0.2695253562884277
Timor-Leste,2253.167826685,1184765.0,0.08990000000000001,0.32770000000000005,,,0.07893159026697605,0.05906232176592861
Togo,1371.5641666474498,7304578.0,0.0483,0.39964,0.03249362,0.08989002000000001,,0.060840773688025665
Tonga,5198.34531354673,106170.0,0.0658,0.23712,,,0.0330337194329933,
Trinidad and Tobago,31283.550019184302,1360088.0,,0.08445,0.428774,0.45466229999999996,,
Tunisia,10769.933249596701,11253554.0,0.0673,0.66842,0.046129760000000006,0.1407694,,
Turkey,19460.482126708503,78665830.0,0.0584,0.7339699999999999,0.04858122,0.1221136,0.2914336039117214,0.20395487194075962
Turkmenistan,15527.403931005701,5373502.0,,0.50037,0.0,0.010888309999999998,,
Turks and Caicos Islands,,34339.0,,0.9218600000000001,,,,
Tuvalu,3687.4842264733293,9916.0,0.06280000000000001,0.59717,,,,
Uganda,1738.46249964419,39032383.0,0.0636,0.16101,0.06975457,0.23384429999999998,0.06807252486519175,0.10572498882333774
Ukraine,7456.930216514241,45154029.0,0.1045,0.69695,0.03185545,0.1091335,0.5823882631214791,0.3852444833522442
United Arab Emirates,65716.9839631926,9156963.0,,0.85541,0.245883,0.37138129999999997,,
United Kingdom,38509.2141550924,65128861.0,0.0751,0.8259200000000001,0.36570890000000006,0.6278858,,
United States,52704.1988841021,321418820.0,0.051,0.8161700000000001,0.3883319,0.6432125000000001,,
Upper middle income,15038.6189880495,2593857852.68203,,0.6412155941586051,0.230716,0.384352,,
Uruguay,19952.2532456926,3431555.0,0.0519,0.9531100000000001,0.0528978,0.17571460000000003,0.6301863446405656,0.3778652067178794
Uzbekistan,5716.49592229779,31298900.0,0.0742,0.36365000000000003,0.008141437999999999,0.025224540000000004,,
Vanuatu,2806.27001260443,264652.0,0.067,0.26128,,,,
"Venezuela, RB",16769.3267845117,31108083.0,0.0318,0.8898999999999999,0.1876162,0.2550486,,
Vietnam,5667.410939390029,91713300.0,0.0659,0.33593000000000006,0.09144978999999999,0.18475560000000002,0.06426081465899935,0.15717147787750502
Virgin Islands (U.S.),,103574.0,,0.9533499999999999,,,,
West Bank and Gaza,4714.924627815611,4422143.0,0.0771,0.75252,0.01446696,0.07598995,0.25398332836594356,0.02966014560020321
World,14724.8167420649,7346705902.68203,,0.53857140635176,0.19189150000000002,0.3292653,,
"Yemen, Rep.",2649.3130079983102,26832215.0,,0.34606000000000003,0.000864128,0.01403569,0.10970581006083205,0.07832728932803425
Zambia,3602.3267560343797,16211767.0,0.0381,0.40922,0.05518930999999999,0.24588529999999997,0.14486472453515187,0.08702799925219307
Zimbabwe,1677.9696280774601,15602751.0,0.0583,0.32376,0.008329735,0.08131872,0.1581687691719552,0.10555390139868119
